QUEST_LV_0500_20190509_000001	I would rather have someone else do it if it's something that absolutely needs doing.{nl}Why does it always have to be me?	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20190509_000002	怪物和魔族氾滥…{nl}至少不用担心遇到强盗了。{nl}只要能活著回去的话。	몬스터와 마족들이 득실거리니..{nl}적어도 강도를 만날 걱정은 안 해도 되겠어.{nl}살아서 돌아갈 수 있다면 말이지.	케도라 상단원 타다스
QUEST_LV_0500_20190509_000003	花好几天侦查，又要花好几天回报！{nl}这样事情什麽时候才会做完啊？	정찰하는 데 며칠, 보고하는 데 또 며칠!{nl}이러면 일은 언제 끝낼 생각인 거지?	바바리안 볼케
QUEST_LV_0500_20190509_000004	我是来协助塔达斯的。{nl}不是来收拾波尔凯闯的祸。	전 타다스님을 도우러 온 것이지.{nl}볼케님이 사고 치는 걸 처리하러 온 게 아닙니다.	케도라 상단원 니르기
QUEST_LV_0500_20190509_000005	我骗过了卡鲁塔斯，没有让他抢走神树的种子。{nl}如果解开这束缚，就可以借助种子的力量恢复力量。	카르타스의 눈을 속여 신수의 씨앗을 빼앗기지 않았어요.{nl}이 속박을 풀어낸다면 씨앗의 능력으로 힘을 다시 회복할 수 있을 거예요.	여신 메데이나
QUEST_LV_0500_20190509_000006	卡鲁塔斯在这片森林设下结界追赶我的原因是什麽呢…{nl}难道他真的知道这颗种子的存在吗？	카르타스가 이 숲에 거대한 결계를 펼치면서까지 저를 쫓는 이유가 무엇일까요..{nl}정말 이 씨앗의 존재를 알고 있는 걸까요?	여신 메데이나
QUEST_LV_0500_20190509_000007	我一调养好身体，就要马上去找奈凌卡。{nl}奈凌卡一定知道从卡鲁塔斯手中拯救梅德依那女神的方法的。	저는 몸을 추스리는대로 네링가님을 찾아가 보려 해요.{nl}네링가님이라면 분명 카르타스로부터 메데이나님을 구할 방법을 알고 계실 거에요.	큐폴 아스트라
QUEST_LV_0500_20190509_000008	啊，启示者！这片森林被设下了邪恶的结界，进来的话很危险的！{nl}请快离开吧！	아! 계시자님! 이 숲에는 사악한 결계가 펼쳐져 있어서 들어오시면 위험해요!{nl}어서 벗어나세요!	큐폴 아스트라
QUEST_LV_0500_20190509_000009	由于卡鲁塔斯在这一带的森林设下了结界，以目前梅迪安娜的力量是无法离开这裡的。{nl}梅迪安娜女神需要快点恢复气力才行啊…	카르타스가 숲 일대에 펼친 결계 때문에 지금 메데이나님의 힘으로는 이곳을 벗어날 수 없어요.{nl}메데이나님이 어서 기운을 차리시고 회복하셔야 할 텐데..	큐폴 일로나
QUEST_LV_0500_20190509_000010	如果卡鲁塔斯发现这裡就完蛋了。{nl}启示者，请你帮助梅德依那女神恢复过来吧。	카르타스가 이곳을 발견하면 큰일이에요.{nl}메데이나님이 회복할 수 있도록 계시자님께서 도와주세요.	큐폴 일로나
QUEST_LV_0500_20190509_000011	虽然陷入了束缚的结界裡…还好依罗娜平安无事。{nl}启示者，请你找找有没有解除结界的方法。	속박의 결계에 걸리긴 했지만.. 그래도 일로나가 무사해서 다행이에요.{nl}계시자님. 결계를 해제할만한 방법이 있을지 찾아봐 주세요.	큐폴 율리아
